category,date,driver_number,flag,lap_number,meeting_key,message,scope,sector,session_key
Flag,2023-05-28 14:21:00+00:00,14,BLACK AND WHITE,59,1210,BLACK AND WHITE FLAG FOR CAR 14 (ALO) - TRACK LIMITS,Driver,,9094
Flag,2023-05-28 14:21:10+00:00,,YELLOW,59,1210,YELLOW IN TRACK SECTOR 8,Sector,8,9094
Flag,2023-05-28 14:21:11+00:00,,YELLOW,59,1210,YELLOW IN TRACK SECTOR 15,Sector,15,9094
Flag,2023-05-28 14:21:14+00:00,24,BLUE,59,1210,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:21:14,Driver,,9094
Flag,2023-05-28 14:21:15+00:00,,CLEAR,59,1210,CLEAR IN TRACK SECTOR 15,Sector,15,9094
Flag,2023-05-28 14:21:23+00:00,,CLEAR,59,1210,CLEAR IN TRACK SECTOR 8,Sector,8,9094
Other,2023-05-28 14:21:35+00:00,,,59,1210, INCIDENT INVOLVING CAR 2 (SAR) NOTED - SPEEDING IN THE PIT LANE,,,9094
Other,2023-05-28 14:21:42+00:00,,,59,1210,FIA STEWARDS: INCIDENT INVOLVING CAR 2 (SAR) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE,,,9094
Other,2023-05-28 14:21:54+00:00,,,59,1210,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 63 (RUS) AND 11 (PER) UNDER INVESTIGATION - UNSAFE REJOIN,,,9094
Flag,2023-05-28 14:22:08+00:00,20,BLUE,59,1210,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:22:07,Driver,,9094
Other,2023-05-28 14:22:08+00:00,,,59,1210,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 2 (SAR) - SPEEDING IN THE PIT LANE,,,9094
Other,2023-05-28 14:22:20+00:00,,,59,1210,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 63 (RUS) - UNSAFE REJOIN,,,9094
Other,2023-05-28 14:23:06+00:00,,,60,1210,CAR 21 (DEV) TIME 1:43.778 DELETED - TRACK LIMITS AT TURN 10 LAP 58 16:22:23,,,9094
Flag,2023-05-28 14:23:12+00:00,,YELLOW,60,1210,YELLOW IN TRACK SECTOR 2,Sector,2,9094
Flag,2023-05-28 14:23:12+00:00,,DOUBLE YELLOW,60,1210,DOUBLE YELLOW IN TRACK SECTOR 2,Sector,2,9094
Other,2023-05-28 14:23:13+00:00,,,60,1210,DRS DISABLED IN ZONE 1,,,9094
Other,2023-05-28 14:23:50+00:00,,,60,1210,DRS ENABLED IN ZONE 1,,,9094
Flag,2023-05-28 14:23:50+00:00,,CLEAR,60,1210,CLEAR IN TRACK SECTOR 2,Sector,2,9094
Other,2023-05-28 14:24:06+00:00,,,60,1210,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2,,,9094
