date,driver_number,lap_number,meeting_key,pit_duration,session_key
2023-06-16 20:55:03.601000+00:00,1,10,1212,534.2,9104
2023-06-16 20:55:09.867000+00:00,81,12,1212,420.7,9104
2023-06-16 20:55:56.241000+00:00,27,10,1212,664.1,9104
2023-06-16 20:57:43.506000+00:00,4,10,1212,756.5,9104
2023-06-16 21:07:03.796000+00:00,11,9,1212,1348.2,9104
2023-06-16 21:07:09.546000+00:00,1,13,1212,1260.1,9104
2023-06-16 21:07:13.999000+00:00,21,16,1212,1377.2,9104
2023-06-16 21:07:23.843000+00:00,18,13,1212,626.4,9104
2023-06-16 21:07:26.702000+00:00,2,15,1212,1374.9,9104
2023-06-16 21:07:28.155000+00:00,10,14,1212,1055.7,9104
2023-06-16 21:07:37.655000+00:00,63,18,1212,856.1,9104
2023-06-16 21:07:45.046000+00:00,22,16,1212,1435.0,9104
2023-06-16 21:07:52.452000+00:00,44,17,1212,955.2,9104
2023-06-16 21:07:53.921000+00:00,4,11,1212,1366.9,9104
2023-06-16 21:08:02.217000+00:00,31,15,1212,991.6,9104
2023-06-16 21:08:06.983000+00:00,77,17,1212,1374.7,9104
2023-06-16 21:08:10.780000+00:00,24,16,1212,1290.8,9104
2023-06-16 21:08:13.311000+00:00,55,14,1212,995.0,9104
2023-06-16 21:08:14.108000+00:00,14,15,1212,1595.6,9104
2023-06-16 21:08:20.264000+00:00,16,13,1212,791.4,9104
2023-06-16 21:08:23.905000+00:00,23,11,1212,1060.1,9104
2023-06-16 21:09:36.294000+00:00,81,15,1212,1287.1,9104
2023-06-16 21:10:23.419000+00:00,11,11,1212,25.9,9104
2023-06-16 21:17:16.914000+00:00,24,19,1212,1837.1,9104
2023-06-16 21:17:23.945000+00:00,21,20,1212,1987.2,9104
2023-06-16 21:17:25.227000+00:00,20,13,1212,2064.2,9104
2023-06-16 21:17:49.570000+00:00,44,20,1212,1552.3,9104
2023-06-16 21:17:55.476000+00:00,22,20,1212,2045.4,9104
2023-06-16 21:18:33.366000+00:00,23,14,1212,1669.3,9104
2023-06-16 21:18:33.570000+00:00,63,21,1212,368.9,9104
2023-06-16 21:18:41.105000+00:00,81,17,1212,1832.0,9104
2023-06-16 21:19:09.350000+00:00,2,19,1212,2077.3,9104
2023-06-16 21:20:11.678000+00:00,11,13,1212,614.2,9104
2023-06-16 21:20:20.256000+00:00,1,17,1212,2050.5,9104
2023-06-16 21:20:57.521000+00:00,18,17,1212,1440.1,9104
2023-06-16 21:21:01.146000+00:00,14,18,1212,2362.8,9104
2023-06-16 21:21:11.552000+00:00,4,14,1212,2164.6,9104
2023-06-16 21:21:17.365000+00:00,77,20,1212,2165.0,9104
2023-06-16 21:21:56.114000+00:00,23,16,1212,25.4,9104
2023-06-16 21:22:00.942000+00:00,16,16,1212,1612.0,9104
2023-06-16 21:22:01.833000+00:00,21,23,1212,26.4,9104
2023-06-16 21:22:44.285000+00:00,10,18,1212,1971.8,9104
2023-06-16 21:23:14.066000+00:00,77,21,1212,24.5,9104
2023-06-16 21:23:21.098000+00:00,55,17,1212,1902.5,9104
2023-06-16 21:25:33.377000+00:00,20,16,1212,230.9,9104
2023-06-16 21:25:56.846000+00:00,22,25,1212,23.7,9104
2023-06-16 21:26:18.611000+00:00,44,23,1212,257.8,9104
2023-06-16 21:27:28.970000+00:00,63,24,1212,295.6,9104
2023-06-16 21:28:13.157000+00:00,81,20,1212,319.6,9104
2023-06-16 21:29:49.577000+00:00,21,28,1212,38.3,9104
2023-06-16 21:30:38.139000+00:00,11,16,1212,388.8,9104
2023-06-16 21:32:33.747000+00:00,63,27,1212,18.3,9104
2023-06-16 21:38:11.494000+00:00,77,32,1212,29.1,9104
2023-06-16 21:39:27.462000+00:00,24,30,1212,366.2,9104
2023-06-16 21:39:46.368000+00:00,18,25,1212,356.0,9104
2023-06-16 21:40:36.648000+00:00,10,31,1212,35.2,9104
2023-06-16 21:41:10.445000+00:00,16,30,1212,34.1,9104
2023-06-16 21:41:50.772000+00:00,21,35,1212,166.6,9104
